_id,co_reg_plan,no_reg_plan,ano,variavel,ensino_rede,ensino_tipo,valor
236,2701.0,Alto Sertão,2015,Matrícula,Privada,Educação Infantil,316.0
237,2701.0,Alto Sertão,2015,Matrícula,Privada,Educação Profissional,0.0
238,2701.0,Alto Sertão,2015,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
239,2701.0,Alto Sertão,2015,Matrícula,Privada,Ensino Fundamental,1492.0
240,2701.0,Alto Sertão,2015,Matrícula,Privada,Ensino Médio,211.0
241,2701.0,Alto Sertão,2015,Matrícula,Pública,Educação Infantil,6144.0
242,2701.0,Alto Sertão,2015,Matrícula,Pública,Educação Profissional,617.0
243,2701.0,Alto Sertão,2015,Matrícula,Pública,Educação de Jovens e Adultos (EJA),8321.0
244,2701.0,Alto Sertão,2015,Matrícula,Pública,Ensino Fundamental,32134.0
245,2701.0,Alto Sertão,2015,Matrícula,Pública,Ensino Médio,6336.0
246,2701.0,Alto Sertão,2015,Matrícula,Total,Educação Infantil,6460.0
247,2701.0,Alto Sertão,2015,Matrícula,Total,Educação Profissional,617.0
248,2701.0,Alto Sertão,2015,Matrícula,Total,Educação de Jovens e Adultos (EJA),8321.0
249,2701.0,Alto Sertão,2015,Matrícula,Total,Ensino Fundamental,33626.0
250,2701.0,Alto Sertão,2015,Matrícula,Total,Ensino Médio,6547.0
251,2701.0,Alto Sertão,2016,Matrícula,Estadual,Educação Infantil,93.0
252,2701.0,Alto Sertão,2016,Matrícula,Estadual,Educação Profissional,138.0
253,2701.0,Alto Sertão,2016,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),1345.0
254,2701.0,Alto Sertão,2016,Matrícula,Estadual,Ensino Fundamental,3103.0
255,2701.0,Alto Sertão,2016,Matrícula,Estadual,Ensino Médio,5992.0
256,2701.0,Alto Sertão,2016,Matrícula,Federal,Educação Infantil,0.0
257,2701.0,Alto Sertão,2016,Matrícula,Federal,Educação Profissional,505.0
258,2701.0,Alto Sertão,2016,Matrícula,Federal,Educação de Jovens e Adultos (EJA),0.0
259,2701.0,Alto Sertão,2016,Matrícula,Federal,Ensino Fundamental,0.0
260,2701.0,Alto Sertão,2016,Matrícula,Federal,Ensino Médio,505.0
261,2701.0,Alto Sertão,2016,Matrícula,Municipal,Educação Infantil,6176.0
262,2701.0,Alto Sertão,2016,Matrícula,Municipal,Educação Profissional,0.0
263,2701.0,Alto Sertão,2016,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),4914.0
264,2701.0,Alto Sertão,2016,Matrícula,Municipal,Ensino Fundamental,28383.0
265,2701.0,Alto Sertão,2016,Matrícula,Municipal,Ensino Médio,0.0
266,2701.0,Alto Sertão,2016,Matrícula,Privada,Educação Infantil,328.0
267,2701.0,Alto Sertão,2016,Matrícula,Privada,Educação Profissional,0.0
268,2701.0,Alto Sertão,2016,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
269,2701.0,Alto Sertão,2016,Matrícula,Privada,Ensino Fundamental,1673.0
270,2701.0,Alto Sertão,2016,Matrícula,Privada,Ensino Médio,224.0
271,2701.0,Alto Sertão,2016,Matrícula,Pública,Educação Infantil,6269.0
272,2701.0,Alto Sertão,2016,Matrícula,Pública,Educação Profissional,643.0
